"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Funny that’s where I’m at right now….ain’t no fcuking tho 😵‍💫","1","0","2025-10-31T20:49:08.000Z","godivaworldtravels","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7325898414217184298","7567490649885442846","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/57faf09b70eae0f8e210cfc6c874d46b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1c20550e&x-expires=1768554000&x-signature=1gCJVDKukL8zTsIcHDvF57AEpOw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","111","0","2025-10-03T11:39:59.000Z","bandanathegreat","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7065925913054676014","7556958711605445406","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/61d0af0a768fa2d7e01baf06a03b481c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7bc43ed2&x-expires=1768554000&x-signature=jAHNlio%2BHV6x%2FPo68xWUFjeiPNc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"If you are looking for cheaper rate hotel, look for QuickPhoc Hotel😂😂😂","333","4","2025-09-17T12:15:57.000Z","the_hunman","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","6858099816326595589","7551030526200890126","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/246db5d4e1286127e6a1a086660e4118~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=16d42a60&x-expires=1768554000&x-signature=4RfSmcjYT2BrHqnRayPRc5a2oeo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"It’s better than Phoc Short hotel.","25","0","2025-09-23T02:20:38.000Z","ai.generated888","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7260280768047842346","7553103825658594062","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/699aec9e3ee8eedbec63d855e6006791~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=44542796&x-expires=1768554000&x-signature=3QmcyjD77gcNwEln%2BULVvNVn8Go%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I just want to book a room there, so I can say that I stayed at the Phuc Long hotel. 🤣🤣🤣🤣","16","2","2025-10-02T07:38:35.000Z","sherbear7696","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7051698006164505606","7556525291821138718","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7377599910415171630~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cbc18e97&x-expires=1768554000&x-signature=tyqnMfS7WzEyrp8fQZ4w5E1dphg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"THEY KNO WHAT THEY DOING WITH THOSE NAMES TRUST!","6","2","2025-10-16T10:28:39.000Z","danyaahla.ban.yahawadah","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7366761917212869678","7561764356145398558","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/de01390a6f2ff14db7dcdc6c9c1a6a33~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4949754a&x-expires=1768554000&x-signature=GpGP2UNYVJ8EZSbGU9v3K4Uqfck%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"The owners know exactly what they’re doing 😂","166","3","2025-09-21T19:42:37.000Z","jr_con","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","6802325555887899654","7552630118737806135","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e3e08801c765c3a9b4fbc49b82e89f29~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2f3dac8&x-expires=1768554000&x-signature=Gsb8srpxtgkmelOJ23HnRC%2Bhx7A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","27","0","2025-10-02T15:27:46.000Z","tguzman85","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7167792629265007659","7556646323173245710","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/5fecd7441626221e05850b593c703bb6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=88d7b8e6&x-expires=1768554000&x-signature=cb2733ZdQpcuOgLfDhNWzwcuo6I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I think phuc means good fortune and long means dragon. the more you know","28","7","2025-09-20T18:07:02.000Z","tonylyte","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","6794492319746130950","7552234441222177566","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7333558493922164741~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ef4d1e43&x-expires=1768554000&x-signature=SHjElEgYML%2BdingnKp2YB9QwxME%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"""Whut duh phucing kinda hotel is dis""","13","0","2025-10-02T00:07:15.000Z","mrkgyver","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7071405948237677611","7556409182396662558","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3e56ca5b685b0ba76de717a03542fe55~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aa0a7018&x-expires=1768554000&x-signature=HYNVPyeFBTbvkEs0MBmxmQhjioQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","33","2","2025-10-03T02:20:55.000Z","thestorybeginstuesday","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7458781411659613226","7556814642628526903","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/5c55addfd351fa75e2c356e0f9bc1770~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=21f955db&x-expires=1768554000&x-signature=PsHEsLaDpVZMNRoUFcpJrUcNFwM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","6","1","2025-10-04T03:49:40.000Z","bitesizedclips88","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7146392941883343918","7557208597866185527","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ac30bd100a6782cadfe5112af9dc2632~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1d3f6a44&x-expires=1768554000&x-signature=uTyyqnY4eUexmKOY9K%2BMJQyd6XE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"get the phuc outta there 🤣","2","2","2025-10-03T00:42:33.000Z","beautybunnny37200","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","95456116469293056","7556789366270690061","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/18620891a8fd9940875db99204f96e92~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dca25009&x-expires=1768554000&x-signature=ydSxYf4ZedMyZKx5t5UnJnWXwQY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","55","2","2025-09-27T21:51:19.000Z","fwarandy","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7426612846219969578","7554889794405597965","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/4cae8c03c7aae096aabe4ff542523c1d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8b1a641d&x-expires=1768554000&x-signature=6iGVxpZAkP1frWOxn3nANWf2IXw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Holy Phoc 😳😳😳😳🤣🤣🤣","86","1","2025-09-16T02:04:10.000Z","scottyi","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","6754432630836364294","7550501981878731551","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7329119414923542533~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=424ed594&x-expires=1768554000&x-signature=KJOp16k%2FBwDWvK8DfFUJxKdi4MU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","17","1","2025-09-26T22:52:52.000Z","gut.health.gladiator","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7246547638542959658","7554534539772429087","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/eef1674d7e94b6d7411bdea4ebfe2a3d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2c49c377&x-expires=1768554000&x-signature=0%2B3PvaogNbtLnXE%2BEWJqBiLCbms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Phuc that I’m booking it now 🤣!","28","6","2025-09-29T19:12:27.000Z","shervishervvv","https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622","7496724331322901535","7555590989735428894","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c769e4171eb1bac005eda2a4994d41d5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=61abc8b0&x-expires=1768554000&x-signature=Gzn68L8X3ImB8CBCQoD2vs23Ddw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
