"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"can i have it for free im broke pls","94","2","2025-12-26T21:25:33.000Z","no.filterho","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7072554723362735150","7588280732028896031","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/2f8556cf1a4218f8f742801844773b14~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8a06fb0e&x-expires=1768557600&x-signature=OIb8yEDK5kUCWt8YtYKNzE1h1Zw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Where can I pick up","7","2","2025-12-16T10:13:15.000Z","the_realgenesis","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6774532288598672390","7584396366156186399","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/6c90d59269c496c8335fdb69e9ea7c2f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4a6d02ec&x-expires=1768557600&x-signature=PLQzMD5NlX0%2BpIQB9XFEuXrwYks%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"the real question . can u drive to where the cow is . pay cash and walk away with the cow?","13","4","2026-01-02T18:43:51.000Z","krys_jo","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6805302850294727685","7590836708104454942","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7331120973696057349~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=368013ef&x-expires=1768557600&x-signature=zDP7E4lI8M4Wav0teiP%2BLRNlKYc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I live in california 😢. can that still work","3","3","2026-01-01T17:44:06.000Z","natruvalcabaa","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6705469049192711174","7590450191929459486","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/4b16fc782fca7dadc54930bb34f48be0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7f20e488&x-expires=1768557600&x-signature=4QngX4skSHOvEe70TKEilVzCPR0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Can I get 2 ??","4","2","2025-12-07T17:03:43.000Z","fernie_ortiz","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7211382058145350702","7581162718801150775","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/72fc057a1d467a529403e83d0c64a554~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a486689f&x-expires=1768557600&x-signature=yknhQ1iNzLDfWZtO%2Bd6k3f75Toc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"will you be seeking more later? n how can we get them? pick up only?","7","3","2025-12-13T21:59:40.000Z","kay911713","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7471330032946955307","7583465337863586590","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b4f27449&x-expires=1768557600&x-signature=VOrasQQZK0%2BLyrzjJFBSvxSseUE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Hello can you message your location and price?!","4","1","2025-12-08T05:40:27.000Z","romper213","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6813270034808030213","7581357716313162509","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/6027a5659f1c8320e7e07f6c730ffdad~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bd97a22e&x-expires=1768557600&x-signature=0zOdiVaJ3G6ZFZy8twG6deQsqXw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"información","4","2","2025-12-25T23:37:29.000Z","ruthmadrid82","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6949675887898461189","7587943674529645342","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7325712032257277994~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=304fa0a7&x-expires=1768557600&x-signature=oH1I%2Fau1GgoJK%2FQUQ6fBPuRrWDc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I'm interested in buying 3 or more, how can I contact you?","25","3","2025-12-11T02:18:57.000Z","luzvioleta49","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7260591768261313542","7582419123717882631","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/30d0582efff85455c502552e7b7e9c71~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1cf353f1&x-expires=1768557600&x-signature=rgzUz8SgWikWOXCwRSTxB6lOO%2Fk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"location","3","2","2025-12-15T14:08:46.000Z","candido.contreras14","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7472119131375879211","7584085996213453598","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/87d741d832e5a9cc3bb556947f873d7f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d13ea56a&x-expires=1768557600&x-signature=OE3kFS%2BidVIPD5nVZW5mJmD%2FSOA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Oh my gosh look at that where are they at","6","2","2025-12-18T13:52:28.000Z","tinkerbell23068","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7565912568485708855","7585195100135047950","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/5d4c98bc78f58025f46b8bc68d6fc66a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5e88abab&x-expires=1768557600&x-signature=VzUqeR%2FRP%2Fg1Cp3gEBAakXS8X8Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Are they still available?","3","1","2026-01-03T03:25:00.000Z","10checo","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6665514170693861382","7590970994593055519","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/044ac3f9e5852e5b67017d67b1a6f5db~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8f9d9132&x-expires=1768557600&x-signature=YuGc5unRzZTw6rAKIMMHRGdWRdk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Are yall selling these?","53","5","2025-12-03T22:18:01.000Z","kendallgehret","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","6777223228668527622","7579759328561234743","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/82d7cdc7ee60485a288a3969b62246f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5948fbc1&x-expires=1768557600&x-signature=1vO2zDBhqjNsLBtOruicBM778XU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Are they really going to deliver or just a thought","5","3","2025-12-21T18:01:47.000Z","debbiebaker993","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7229398410230547498","7586372842234479390","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7232856272784064555~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1d92465a&x-expires=1768557600&x-signature=7fabstDEnwL4SywO9wHIdwZhjEA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I’m in miami how can I get one shipped ?","4","2","2025-12-06T14:24:27.000Z","jayramirez1108","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","102363699100680192","7580750600129053471","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ef88bf9fce26eecfce7b8a28c272a24b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9508a3b8&x-expires=1768557600&x-signature=XL2f8IZD7q7mFvZCU6vWvwd%2BPZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Can you ship to Mexico?","9","3","2025-12-04T21:56:11.000Z","moisspacheco86","https://www.tiktok.com/@diegofarm5/video/7578366145003081016","7225565013049377835","7580124778528064286","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a6a71d0c468c3518be4d680bfbfb1424~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d371d4b9&x-expires=1768557600&x-signature=cABlRckTleBuOpqxGjzK1etwb8g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
