,text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,trust
0,can i have it for free im broke pls,94,2,2025-12-26T21:25:33.000Z,no.filterho,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
1,Where can I pick up,7,2,2025-12-16T10:13:15.000Z,the_realgenesis,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
2,the real question . can u drive to where the cow is . pay cash and walk away with the cow?,13,4,2026-01-02T18:43:51.000Z,krys_jo,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
3,I live in california 😢. can that still work,3,3,2026-01-01T17:44:06.000Z,natruvalcabaa,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
4,Can I get 2 ??,4,2,2025-12-07T17:03:43.000Z,fernie_ortiz,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
5,will you be seeking more later? n how can we get them? pick up only?,7,3,2025-12-13T21:59:40.000Z,kay911713,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
6,Hello can you message your location and price?!,4,1,2025-12-08T05:40:27.000Z,romper213,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
7,información,4,2,2025-12-25T23:37:29.000Z,ruthmadrid82,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
8,"I'm interested in buying 3 or more, how can I contact you?",25,3,2025-12-11T02:18:57.000Z,luzvioleta49,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
9,location,3,2,2025-12-15T14:08:46.000Z,candido.contreras14,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
10,Oh my gosh look at that where are they at,6,2,2025-12-18T13:52:28.000Z,tinkerbell23068,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
11,Are they still available?,3,1,2026-01-03T03:25:00.000Z,10checo,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
12,Are yall selling these?,53,5,2025-12-03T22:18:01.000Z,kendallgehret,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
13,Are they really going to deliver or just a thought,5,3,2025-12-21T18:01:47.000Z,debbiebaker993,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
14,I’m in miami how can I get one shipped ?,4,2,2025-12-06T14:24:27.000Z,jayramirez1108,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
15,Can you ship to Mexico?,9,3,2025-12-04T21:56:11.000Z,moisspacheco86,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
16,Oh my gosh-they are too cute💕,2,0,2026-01-10T04:17:08.000Z,kerrybgood,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
17,@🪬SaltyTexasMomma5150🪬: Yall in texas? How far from Joshua Tx looking to acquire in early 2026,3,2,2025-12-27T23:39:55.000Z,saltytexasmomma5150,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
18,I would love information,6,2,2025-12-06T01:05:39.000Z,usergs4030wt4m,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
19,location,3,2,2025-12-06T21:40:03.000Z,hector.moreno5,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
20,Am interested,4,1,2025-12-31T00:37:40.000Z,mjuan_86,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
21,Are they still for sale,4,1,2025-12-09T21:14:42.000Z,jasanchez712,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
22,"How can I own my very own please, and do yall ship?!?",7,3,2025-12-16T16:19:00.000Z,maraflores8985,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
23,Where can you get these,4,2,2025-12-25T20:18:27.000Z,wendylabadie,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
24,Omg 😱 I want one 😍,2,1,2026-01-04T23:46:57.000Z,maryperez2790,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
25,In Texas ??,5,2,2025-12-12T16:51:30.000Z,alexabadazzzz,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,-1
26,Are they still available,3,2,2025-12-14T02:22:04.000Z,ajbvxo,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
27,info,2,1,2025-12-08T04:33:07.000Z,quinteros664,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
28,Info please,3,2,2025-12-08T09:42:48.000Z,userfnuno50,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,0
29,How long do you sell this for and do your transport?,6,2,2025-12-13T17:04:04.000Z,allieshealthandfitness,https://www.tiktok.com/@diegofarm5/video/7578366145003081016,1
30,That is a trap I would fall for every time.,75,3,2025-02-13T07:20:15.000Z,top_shelf_tony,https://www.tiktok.com/@sophiej785/video/7470544217354276139,-1
31,Scotland meets New Orleans,6,0,2025-03-20T21:14:42.000Z,apple.user9352935,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
32,home sweet home,16,0,2025-02-14T15:40:02.000Z,johnkinsbergen,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
33,I would love to have a spot of tea! And maybe a scone or two. 😁,12,1,2025-02-13T13:27:27.000Z,pe4h2o,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
34,The princes of the Highlands,11,0,2025-02-19T06:22:20.000Z,sellnerrainer,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
35,Dreams,16,1,2025-02-14T16:59:23.000Z,swordoforder,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
36,The Flower of Scotland is a Red Rose 😍,5,0,2025-03-03T09:23:29.000Z,panicpipe1,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
37,Honey I'm home,16,1,2025-02-13T13:57:13.000Z,chainzinshire00,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
38,Nice one,12,0,2025-02-12T23:44:55.000Z,user7116400606047,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
39,hello lass,6,0,2025-02-13T14:09:16.000Z,jayjohnson093,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
40,Awesome ❤️❤️❤️,7,0,2025-02-15T05:58:26.000Z,daviddube333,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
41,I'm moving to Scotland,16,0,2025-02-12T22:50:32.000Z,user29762904469940,https://www.tiktok.com/@sophiej785/video/7470544217354276139,-1
42,beautiful ❤️❤️❤️,6,0,2025-02-14T18:15:37.000Z,ejm_2022,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
43,j'adore ta maison... tu as trop de chance...,6,0,2025-02-14T06:30:13.000Z,petitlouloup87,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
44,"j,en sort plus ,par saint Patrick ,",14,0,2025-02-12T19:48:46.000Z,poloprem,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
45,Le petit chapon en rouge,5,0,2025-02-14T12:27:11.000Z,patricedhote,https://www.tiktok.com/@sophiej785/video/7470544217354276139,0
46,mon rêve cette maison ......,6,0,2025-02-14T17:17:46.000Z,phoenix19846,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
47,"auch wenn ich da nicht antreffen sollte, würde ich mich da sehr gerne verkriechen",5,0,2025-02-13T18:26:14.000Z,tailog.l.doig,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
48,Quelle merveille,5,0,2025-02-15T15:28:14.000Z,nicolasbesnard2,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
49,I like the highlands🖤🔥🖤,12,1,2025-02-14T22:48:11.000Z,acstriker,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
50,mysterious🥰🥰🥰,16,1,2025-02-13T11:17:30.000Z,christof5400,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
51,can I join ya,18,3,2025-02-15T08:39:39.000Z,hammond2626,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
52,"Well if this is the highlands, I’m on my way.",8,0,2025-02-14T16:36:28.000Z,user87548796052952,https://www.tiktok.com/@sophiej785/video/7470544217354276139,0
53,"Both looking amazing, you and your home",11,2,2025-02-13T07:12:29.000Z,mylo5011,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
54,cool 🥰🥰🥰,11,0,2025-02-13T19:51:10.000Z,daniel.feu99,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
55,Mehr braucht es nicht um glücklich zu sein !! 🙂🙂,14,0,2025-02-14T08:44:38.000Z,anik.beckers,https://www.tiktok.com/@sophiej785/video/7470544217354276139,-1
56,can I visit you?.,9,0,2025-02-14T20:26:01.000Z,user66627788053006,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
57,wowww 🤩🤩🤩🤩,8,0,2025-02-14T14:55:01.000Z,matti00007,https://www.tiktok.com/@sophiej785/video/7470544217354276139,1
58,......and they said that stone buildings had no insulation!!!,12,0,2025-02-12T17:51:45.000Z,mickey2278,https://www.tiktok.com/@sophiej785/video/7470544217354276139,-1
59,43-14 HAPPY HOMECOMING‼,5,0,2025-10-12T06:14:53.000Z,landobuckzzzzz,https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806,1
60,Hope yall win state but Rochester is in same bracket so Yall kind of cook unless you play hard and win,0,0,2025-10-31T21:49:53.000Z,steveharr341,https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806,1
61,Hope you guys had a great hoco! See you guys next year!!,2,0,2025-10-12T06:48:45.000Z,lillyhicks.10,https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806,1
62,All of this to lose by 30,6,0,2025-10-12T13:35:59.000Z,dudley_68,https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806,-1
63,,0,0,2025-10-11T05:18:41.000Z,littlecutumup,https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806,0
64,People who don’t know what it is↘️,3528,13,2023-12-22T23:15:58.000Z,ljj20050,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
65,why did I think the dough was a Donner kebab,15,0,2023-12-24T16:51:37.000Z,x.daria.13,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
66,Burberry can we get a hello?,32,0,2023-12-23T10:31:59.000Z,crispquavers,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
67,Yall its a shoe😭,19,0,2023-12-29T09:07:34.000Z,sami_tii,https://www.tiktok.com/@burberry/video/7315357166649593120,0
68,I thought I was Texas 💀,15,0,2023-12-26T20:53:59.000Z,femboyfarttickler1234758,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
69,Hi,14,0,2023-12-26T07:56:11.000Z,movie112280,https://www.tiktok.com/@burberry/video/7315357166649593120,1
70,A high heel boot,31,0,2023-12-25T22:24:22.000Z,69.eric.shun,https://www.tiktok.com/@burberry/video/7315357166649593120,1
71,I thought this was hash,24,0,2023-12-23T15:35:09.000Z,arsonphonk,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
72,I love your shoes 😍,30,0,2023-12-27T18:00:45.000Z,__.avaxoxo.__,https://www.tiktok.com/@burberry/video/7315357166649593120,1
73,Pretty,13,0,2023-12-26T05:01:03.000Z,a_random_child2018,https://www.tiktok.com/@burberry/video/7315357166649593120,1
74,Wow,15,0,2023-12-27T08:06:05.000Z,user4207921334599,https://www.tiktok.com/@burberry/video/7315357166649593120,1
75,Is it a shoe ??,20,0,2023-12-24T02:56:21.000Z,jordan.gayle2,https://www.tiktok.com/@burberry/video/7315357166649593120,-1
76,Im in there right now. If u know u know,16,0,2023-12-23T14:03:59.000Z,la_futty_sketcher,https://www.tiktok.com/@burberry/video/7315357166649593120,1
77,nice,14,0,2023-12-26T06:11:13.000Z,movietttt,https://www.tiktok.com/@burberry/video/7315357166649593120,1
78,Wow,17,0,2023-12-27T06:42:24.000Z,user61986575045816,https://www.tiktok.com/@burberry/video/7315357166649593120,1
79,interested,28,0,2023-12-26T17:04:40.000Z,aidenaguilar0,https://www.tiktok.com/@burberry/video/7315357166649593120,1
