"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d2edae7ea344cd8f87ce064caf5f2ead~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=68c56625&x-expires=1768644000&x-signature=LXgYihTBMIenP9DKviUhWPARojs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","highland.fashion7","Must have one if you know highland #trenchcoat #peocoat #overcoat #womenfashionstyle #blackfriday ","2912","101","800200","69","519","14","shine on","choppy.wav","false","2025-11-09T03:35:15.000Z","https://www.tiktok.com/@highland.fashion7/video/7570563978892430605"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ebc05d2aea7ad8ede5b4b443d1d30c7d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3aac758d&x-expires=1768644000&x-signature=zldSfnIxBLb9rSM0GuLY93e5zIU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","highland_crystal_ultra","Come and join our highland family and call us maybe 🥹🫶🎉#crystals#crystalshop#highland#highlandcrystal #fypツ#crystallover#DIY","468","8","25300","11","29","10","原聲 - highland_crystal","highland_crystal","true","2024-11-01T08:00:00.000Z","https://www.tiktok.com/@highland_crystal_ultra/video/7431850661333044523"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9f83b6acf7366c191dc360289369bcb0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=bccbe046&x-expires=1768644000&x-signature=tIbuwTYTD7FEfUXcz37ywzkzvb8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","realestate_jadi","$335k for a Highland Home 🤯 #newconstructionhome #houstonhomesforsale #fyp ","261","65","4863","8","47","384","original sound","Jadi Lopez | REALTOR®","true","2026-01-13T23:01:29.000Z","https://www.tiktok.com/@realestate_jadi/video/7594985063654247711"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7402d32f88d091d6cd2fb366c2106fe8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1a050b69&x-expires=1768644000&x-signature=Mra5yMfSwos9YIYmUDLqdIg2PYo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","sophiej785","Highlands Scotland. ","22700","615","888500","963","858","11","Braveheart (Main Theme)","Jozef Holly","false","2025-02-12T14:47:13.000Z","https://www.tiktok.com/@sophiej785/video/7470544217354276139"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e4ab1f60071f4d07fe6396fc0c6a291c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=cf099e73&x-expires=1768644000&x-signature=ZDkJN0L8M%2Fsrt0XWB7BGRCzEI%2Fk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","sammyiscool100","I still have trauma from that school😭","1119","82","12700","105","76","6","original sound","xraie","true","2025-10-01T22:00:32.000Z","https://www.tiktok.com/@sammyiscool100/video/7556376510827892023"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/4bb19e424d224d0aa84ca6170fdd9eb0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5b3d578e&x-expires=1768644000&x-signature=WZmNfmlHrjH0%2B21J8U0UZbLWUv8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","ku_13188","Found a bunch of cuties 😊 #cute #baby #highland #highlandcow #highlandscoffee ","126000","21800","7100000","1306","6961","16","原聲 - ku_13js08","ku_13js08","true","2025-12-11T11:03:44.000Z","https://www.tiktok.com/@ku_13188/video/7582554339084930335"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/e85fed9d6e564fc9be07c461339147e2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0f75e01e&x-expires=1768644000&x-signature=ajzUuuI%2BgWTEE2KoC3rBl242WV8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","trending_midwest","Mini Highland Calf 🥹💕 #highlandcow #highlandcattle #toocutefarm ","2200000","937500","56300000","31400","164391","10","Little Bitty","Alan Jackson","false","2024-09-17T11:58:25.000Z","https://www.tiktok.com/@trending_midwest/video/7415580103205375278"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/f0e96b046d26a91e2238ab0ea5958b1b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=efe0e2a2&x-expires=1768644000&x-signature=rRGSH9eG%2Fk6WQconvyrm3pH01D8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","highlandhooligans5","Sexy dexy ft. Highland student section 

#highland #fnl #fyp #bulldog #sexydexy ","474","17","8874","5","11","11","original sound","Jay🎲","true","2025-10-11T03:23:37.000Z","https://www.tiktok.com/@highlandhooligans5/video/7559799576715201806"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2a317a9666d19ef2c2aabdadfb835676~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5450de4b&x-expires=1768644000&x-signature=w0Pgmy8IxFqefqQYchtsXyFjvQ8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","burberry","Highland #Burberry ","145000","374","12300000","503","925","10","original sound","Burberry","true","2023-12-22T10:02:08.000Z","https://www.tiktok.com/@burberry/video/7315357166649593120"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/cd713c55b57c77ed65f195a206a05fb5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e6f87048&x-expires=1768644000&x-signature=EYstVmgjykxpg8FJxRYBbpSCTow%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","diegofarm5","Healthy, adorable mini Highland cows available now! We have both males and females with fluffy coats and gentle temperaments. Perfect for small farms, hobby homesteads, or pasture pets. Well-socialized, easy to handle, and ready for their new homes. Reserve yours today!
Website…Diegofarm.com
#livestock #backyard #cowboy #pets #animals ","5486","3633","157900","266","1036","9","Farm Life","Whey Jennings","false","2025-11-30T04:11:33.000Z","https://www.tiktok.com/@diegofarm5/video/7578366145003081016"
