"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"chiến dịch của katinat thấy math math =)) hết vụ 1k đồng ly nước cứu trợ tới vụ này =)) toàn đi vào lòng đất.","708","19","2024-11-20T01:12:57.000Z","yasuhito.rei","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6759912494184481793","7439163202611856148","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/d419b7e832084fbee2782c5213e051f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5c369b35&x-expires=1768615200&x-signature=o4b1U5U7OIauE1dt3YsQSWJCjo8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Này chắc nhân viên tự ý note chứ không phải là do trên hệ thống tự động note. Nên có phốt thì 100% nhân viên viết tem này sẽ chịu hết trách nhiệm.","275","0","2024-11-19T11:31:03.000Z","d_art.thang","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","7285398797911393287","7438951455401427733","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/256b40d8507a0bddbf8cb76a4ffb7b1a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2db4f30&x-expires=1768615200&x-signature=ztA7dZTwHFAKZHRw1IimG3X8YOA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Mình từng làm Katinat, để hiện tem như vậy chắc chắn là nhân viên bấm, kể cả là order qua app thì nhân viên vẫn phải bấm từng ly và note lại nếu khách có dặn, chứ app không kết nối với máy in rồi in ra sẵn đâu","363","6","2024-11-19T15:00:04.000Z","fanboy_bts_forever","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6520511505392664577","7439005337723683602","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/177af854eb0c58268492e7c82303c93e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8403c082&x-expires=1768615200&x-signature=DwPEjxj3m4taRaPi%2BJbvKRS7DSs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Tôi là tôi thấy hơi ấy:)","266","1","2024-11-19T10:21:37.000Z","nhandienfnb1","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","7283810385580278792","7438933569340932882","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/40d2c0dcf8f816c517e100b4ecda9781~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1db3d121&x-expires=1768615200&x-signature=yj6ip04f3kmsWY%2BxecZjKWbhr4Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"hay đặt qua app thường qua app note gì là in luôn như v","42","10","2024-11-19T11:32:26.000Z","heskh128hihijk","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","7025528734237574145","7438951810361312021","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/560c195bc20f5a8dacb8fcf644cb5e94~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f57d18aa&x-expires=1768615200&x-signature=sZL%2BWx9ZLr390vKgxj3YnNabKTg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Tui thấy trông giống ngồi ở quán hơn:)","14",,"2024-11-19T12:16:50.000Z","nhandienfnb1","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","7283810385580278792","7438963270045958920","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/40d2c0dcf8f816c517e100b4ecda9781~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1db3d121&x-expires=1768615200&x-signature=yj6ip04f3kmsWY%2BxecZjKWbhr4Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"tui nghĩ này là do nv dỡn với nhau nên ghi v, chắc nv ko nghĩ là khách sẽ đọc đâu (ykr)","20","5","2024-11-19T16:59:43.000Z","cachetduoi2303","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6719402396533474306","7439036152680170258","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5302e5777ff9cbfc45e257b5d1e642db~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ac060c5&x-expires=1768615200&x-signature=tb7cnNptPU9vNlNbQhz1MUrFKbk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"từ lúc vụ trích 1k cứu trợ tao chẳng bao h vào katinat lần nào ☺️","45","6","2024-11-20T05:07:38.000Z","kemmkhonglanh","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6741938196689536001","7439223726049166088","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a71d03a0ab2fd61894ab068c019fc78b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2d946c2b&x-expires=1768615200&x-signature=V5fQi9zF45U3%2Feagmxpe%2BnUlSMw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Do nv order nha, note sao thì in ra v đó","9","1","2024-11-19T15:15:48.000Z","hoa.day.ne","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6559970824235958273","7439009387207688978","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2d3c99a98764cae8fc8b80efd8845752~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d8c39526&x-expires=1768615200&x-signature=KxMwtgHs9hvz7IT2OMCOufF%2FDHQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"thế là nó đã thành công rồi đấy 😂","1","0","2024-11-20T05:01:37.000Z","vietle304","https://www.tiktok.com/@nhandienfnb1/video/7438932164084862216","6862277025244300289","7439222185803956999","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/cc942517e037cb580a19ced1dea97562~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2ce53547&x-expires=1768615200&x-signature=ewMOGxerfBwvGkeCgHm1jPqOtoI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
