"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/ddf2c4ee7183c25e58e7e3a9324732f1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=aeb8523f&x-expires=1768701600&x-signature=4B%2F4346djHBdWhZfiI2O%2BongkYc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","dichoimoingay","Chi nhánh mới của Katinat đẹp vô cùng tận🤎🍃 #cafe #reviewcafe #saigon #dichoimoingay ","15500","16200","1100000","375","4213","31","nhạc nền - Đi Chơi Mỗi Ngày","Đi Chơi Mỗi Ngày","true","2024-11-21T02:04:58.000Z","https://www.tiktok.com/@dichoimoingay/video/7439547715870035221"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0f86cec2d1ad0af0b2d87a18417a5634~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3cc85f99&x-expires=1768701600&x-signature=J7vo2ThqDCmMoHYdmnedHAl3vH8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","vng.quc.bb","Tuyết rơi tại Katinat Bến Bính ruii các Katies ơiii nhanh chân tới để checkin thuii a #xuhuong #katinat #viral #giangsinh ","20500","11800","573500","519","1609","16","nhạc nền - Đầm Hà Today","Đầm Hà Today","true","2025-12-15T15:57:06.000Z","https://www.tiktok.com/@vng.quc.bb/video/7584114324285771029"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7314927110445858858~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d8ffa5cd&x-expires=1768701600&x-signature=sQ5JdPqaTn02JKkbY3EuNzj9gRs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","saigonspringroll","Katinat Review","123700","11200","4100000","1820","14559","65","original sound - Tri Phan","Tri Phan","true","2024-06-23T12:25:41.000Z","https://www.tiktok.com/@saigonspringroll/video/7383673753718361387"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/28dd6fe1fcdf7cf4a981ec244f69f828~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6523606e&x-expires=1768701600&x-signature=F760cDHbhrM1fZjYZKqjAlbXRE4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","katinatvn","Mọi người sẽ chọn món nào khi đến Katinat??? 🤔 #Katinat #katies #fyp #xuhuong #dcgr #AnCungTikTok ","6771","1139","1100000","97","1244","63","nhạc nền - Katinat Saigon Kafe","KATINAT Coffee & Tea House","true","2023-04-12T05:05:40.000Z","https://www.tiktok.com/@katinatvn/video/7221025127310347547"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/548f0ed366cb1f180404dfa7de3323d8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ab656693&x-expires=1768701600&x-signature=7DD0KFCbi1iSgGXUYIgxomGd2h4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","hdhuonggg","Đi thử Katinat ở phường Vũng Tàu, tưởng bình thường ai ngờ đông xỉu 😗 #vungtau #katinat ","182","2","4658","3","11","15","Nắng Dưới Chân Mây","Nguyễn Hữu Kha","false","2025-07-11T08:57:17.000Z","https://www.tiktok.com/@hdhuonggg/video/7525745774718831879"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/8ccbc977028c82993b5679e2f1c47df4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8b90dd81&x-expires=1768701600&x-signature=JaHW7%2BAhlw4sBVAgS9DiRrxqC9I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","katianafans","El cybertruck de katiana está súper genial con su nuevo wrap ❤️❤️❤️🫰🏻

.
.
.

.
.
.
#katianakay #katiana #cybertruck #tesla #pink #wrap #wraping #wrapingcars  #vinil #sailormoon #animeedit ","88300","2903","2600000","875","24501","12","original sound","ciarra 🪴","true","2024-08-01T20:13:46.000Z","https://www.tiktok.com/@katianafans/video/7398266803832638726"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c413273815bcf5af48bbb48b3e1e7141~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=07bbd08d&x-expires=1768701600&x-signature=Y2OXpNryuDh9XAjc5kWMUsAEkIU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","idoldienohuene","Katinat cơ sở 2 nhìn sang quá trời 🫣#katinat #hue ","1635","1791","95600","76","80","10"," At Dusk  Love ","刘嗨雨","false","2025-10-08T00:45:54.000Z","https://www.tiktok.com/@idoldienohuene/video/7558645690763660552"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/06ddb4a903b6be96d8ed6f5dfb221650~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=be86a139&x-expires=1768701600&x-signature=DYUWDvnJybqHhItObceCvknVUiM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","thong.dong.phanthiet","Katinat Phan Thiết #dulichphanthiet #reviewphanthiet #katinat #thongdonghomestay ","1126","446","68300","67","53","13","พี่ชอบหนูที่สุดเลย (I Like You The Most) (Speed Up)","PONCHET","false","2025-01-06T13:50:20.000Z","https://www.tiktok.com/@thong.dong.phanthiet/video/7456799449722014994"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b82a7dc6d20ba379b5a96dfb3b31c093~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d8356111&x-expires=1768701600&x-signature=sEREVM4Z%2BDr3YwuIh9VeCt35XjI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","longlongneee","📍katinat - 60 lý thường kiệt. ⭐️: 30-70 cành. #AnCungTikTok #ReviewAnNgon #LearnOnTikTok #Foodreview #longlongangi #fyp ","1619","447","200300","40","286","64","Cooking BGM (Japanese style)","ArcTracks","false","2023-04-14T09:44:35.000Z","https://www.tiktok.com/@longlongneee/video/7221839188486851866"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/668d9ec4020eb0d25c00531e9948ad48~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=54c7476f&x-expires=1768701600&x-signature=W6on5Q2k%2BRUvHp4jhveE597v4iE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","ella.ne25","Kp là nôn nao mà là nôn tếttt 🥹😭
 #katinat #TranChauDuaThotNot #viral #trending #fyp","1602","110","112400","52","254","67","nhạc nền - Wynanhnee","Wynanhnee","true","2026-01-14T13:03:57.000Z","https://www.tiktok.com/@ella.ne25/video/7595202275895807239"
