"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"It would be so much easier if we had liquid matcha 😭😭","7469","8","2025-02-13T23:18:32.000Z","amourclarissa","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","54831768276602880","7471047014051742506","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/b8ce7164c399dd3abd184ba7fe8b3355~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=808dbc0a&x-expires=1768618800&x-signature=W2z%2FY8CVb1Q8InLrQFSr1nHRLZM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Why is your matcha so well behaved ☹️#notfair","1160","0","2025-02-14T00:14:27.000Z","poftly","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6720784453922849798","7471061401982288670","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/e8a3f21b24d27108244efd0685c33de3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=45d4222c&x-expires=1768618800&x-signature=QR08vLV459f5AxannBhza9fjZRc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"1ng mê matcha như mình thì matcha starbucks nó như 1 mùi hương liệu, matcha của HeyTea bên TQ nó ngon dữ lắm mấy bà ui","890","24","2025-02-16T04:31:45.000Z","xiaoyan052019","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6602949536564789250","7471869937553638152","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a9da689aede3fd1ff922156cc90e9a61~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=352fe4bf&x-expires=1768618800&x-signature=BsOq%2BUokq8wrnnN8UF73dVyKsZQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"matcha Starbucks enakkkkk 😭","47","2","2025-02-17T15:40:08.000Z","noraayni","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6770207021801325570","7472413295014806280","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/29804e3bf998bc17a4cd96ef7dfef7d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1c1837df&x-expires=1768618800&x-signature=ebbzTnqiFcO%2BFHS0N8xEEDYQaGU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"medio vaso y lo demás es hielo 😳","2307","12","2025-02-22T01:11:26.000Z","tapiakari","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6795961763767632902","7474044740175758086","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6ae069101c29ec2795d5b101122bd1bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=959b6c91&x-expires=1768618800&x-signature=uOg%2BcZ928ELGNgDp%2FuziPZgAYS4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"This. This. This. This is how I want my matcha 😭","103","0","2025-02-13T23:19:07.000Z","cxnxfl","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6904701489173660678","7471047129648857902","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/b814ca0ee01613d145de6d68cf94fa6d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6d898b7d&x-expires=1768618800&x-signature=wQcoq4kYVCYMm3YcOztVF2RkP5s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"everything is sm more advanced 😭😭😭","284","0","2025-02-14T00:33:27.000Z","lanayamoraless","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6925178570646406150","7471066280061092654","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a96e42fd52e88275468a087cc4b31be8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=59a16327&x-expires=1768618800&x-signature=HKEUUkCD66krjvZVj0j4HHDnFpM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Les recomiendo el berry matcha latte frio Uff y con jarabe de frambuesa 💕","871","3","2025-02-20T15:17:56.000Z","janeetthgallegoss","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6653290715176550406","7473520814668284680","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/dcf9a35cb03cd17c7a40a85fab57808d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5fcb5bae&x-expires=1768618800&x-signature=wJH9JNWQX1N275f%2BqZ6DvY6MN3c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"𝘧𝘳𝘦𝘦 𝘧𝘳𝘦 𝘱𝘢𝘭𝘦𝘴𝘵𝘪𝘯𝘢❤","23","5","2025-04-12T03:56:48.000Z","fs.cg220820.4","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7208559639565730822","7492270594261811976","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2e50d708aece3ee070337ef77aab2a2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7d655604&x-expires=1768618800&x-signature=LIjTAUkDuflREBM6%2FDdXvOhKuOI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"والله الماتشا حقتنا اللي هنا مو زي حقتهم🌚","49","0","2025-02-20T10:50:44.000Z","amalzhrani_","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7014998946577925125","7473451952425599751","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c4fd9950cb5f6a8acde22e80e43940b3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7df82a12&x-expires=1768618800&x-signature=prxm%2BtDGGaKLb8RYwu%2B%2FTfypwf0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"udah lama pengen bgt tp baikot😭😭😭😭","151","0","2025-02-13T13:10:16.000Z","machaku24","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7299062973761815557","7470890339696919304","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/68a5ad66793ec8f6a64dcb9f40f6742b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b69a4f0e&x-expires=1768618800&x-signature=mGO2NKq3ZFPSQRbiCLir2sSO%2Fp8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"aku bukan ga mampu beli makanan mahal dan minuman mahal seperti yang kalian beli,tapi aku ga tau cara pesennya😭😭","1653","30","2025-02-15T07:37:33.000Z","_fatimmad","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7395094679585670150","7471546746696401672","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/34ac9928a6bfa0dd7886f30ece58a6a3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=11e32179&x-expires=1768618800&x-signature=unlWaK7BwlSqlcdLYT%2F%2FXPr5QcM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Gusto ko din matikman Starbucks, Pero di ako marunong magorder🥺","0","4","2025-02-24T11:52:28.000Z","abcd1998xx","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7412565089569637384","7474952214558999303","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/64ce6dbabce7ff4ba55800836050f30b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=78835606&x-expires=1768618800&x-signature=0Q6OPfz7zXkUzLECpo%2FXn%2B3fEVQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"aku umur 23 th belum pernah minum kek gitu 😭","141","0","2025-02-14T05:26:25.000Z","biahh623","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6677106945956086785","7471141886304977671","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/76621120625e5051f3d0d1cd79574f43~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=845ac66b&x-expires=1768618800&x-signature=m42daMrwnRD8fY32ieoZ5wP4Fpk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"gapernah beli soalnya mehong yg mau beli masih suka mikir"" meskipun ada duit🤗","161","4","2025-02-13T12:47:05.000Z","raisasyifanaaa","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7266790952881439746","7470884252688089862","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bab8f090070af60cb0530674b86d3987~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=367505b7&x-expires=1768618800&x-signature=K0JIhQxAYtlNNuK6MlPu884a5tI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Suka bgt matcha starbucks🤩","53","0","2025-02-14T03:38:32.000Z","ahlimadangg","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7324365474317403138","7471114022231835400","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/8122bc31ba79bdbb4f100a875f7c927b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b481c621&x-expires=1768618800&x-signature=Tdy0y%2Bn9Q0rFVvWKystG4zMPA%2Fw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Матчу без весов заливать это конечно мощно","72","5","2025-02-13T21:27:32.000Z","kontrlzzzed","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6609984738458697734","7471018389177533189","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a0844ea336ad4fc05510df1f3e90891f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0fcbec76&x-expires=1768618800&x-signature=qBvL1r8oO9VwPVaZUb0bocgRQo8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"อยากกินแต่ไม่กล้าเข้าไปสั่ง พูดชื่เมนูไม่ถูก😅","1419","60","2025-02-15T02:58:24.000Z","ratri25315","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6536168520211415041","7471474776994857736","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7321941432200069121~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=196c7971&x-expires=1768618800&x-signature=CuDCdh%2BE9XTZ%2BUPiq41Lp8OoJNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"sbux itu yg bikin mahal apanya si😭","500","44","2025-02-13T11:22:47.000Z","intuuunnnn","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7019193675721917442","7470862590195090194","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/883bbc99ed1046f5cff84ace01bf0c33~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=31075685&x-expires=1768618800&x-signature=yb3OND14chTmqOzWDKQYS2SEDnw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"gelasnya kak yg mahal, materialnya anti gempa","1106",,"2025-02-13T12:14:58.000Z","alienekordepan","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6840683242593960962","7470876040954839826","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e024f8dedc8df5741913a67c7e57aac1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=178a7517&x-expires=1768618800&x-signature=Wp8j6yNb1MC3d3QyUJiU5T2vftU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kangen bgt sama caramel java chip sama green tea frape aaaaa😭","14","2","2025-02-17T05:26:24.000Z","hennayasminfardib_","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","6859964649681798146","7472255116654101266","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/162194ed87d33a8034b5f9a1192f112c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b0c1b6b4&x-expires=1768618800&x-signature=rdlC1drAX2QWRRK443wWOI4c9yo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"I wish my store had those cups","147","2","2025-02-14T02:21:16.000Z","hou.mxaa","https://www.tiktok.com/@oneminwith.gr/video/7470767073996655888","7077411031794140203","7471094132350632746","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f805c3aa6b443dd5098869b5f412921c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=07d879ad&x-expires=1768618800&x-signature=ARYEnOlnFUL18kG6myMSfQJRDrQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
