"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e3df2b52c07008905553548228d877a0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=27a6ba40&x-expires=1768705200&x-signature=jGpeo7IZ6Oc6BFLeOF1RcNrkEh4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","starbucksvietnam","✨ Lucky Cat Collection ✨
Chú Mèo Thần Tài nhỏ xinh mang theo lời chúc may mắn cho những ngày đầu năm 🌼🐱
Ghé Starbucks và chọn cho mình một “Lucky Cat” để khởi đầu năm mới thêm vui nhé!

#Starbucks #StarbucksVietnam #StarbucksVN #RestoreYourRhythm","23","14","7242","2","1","16","Holiday","FASSounds","false","2026-01-13T11:01:23.000Z","https://www.tiktok.com/@starbucksvietnam/video/7594799594639281416"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/11d4a407fe0f81cbfbd837f776c71e6c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=e72ac3e6&x-expires=1768705200&x-signature=8oexHVrB73G3NOowbiFX0XdRFbA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","sbvincomrachgia","Từ 14.01 – 16.01.2026, với mỗi giao dịch từ 400.000đ và có ít nhất 01 thức uống Matcha, bạn sẽ nhận ngay 01 Matcha Charm xinh xắn – món phụ kiện mang đậm dấu ấn Starbucks để treo túi, balo hoặc sưu tầm theo cách rất riêng.​ #starbucksvietnam #xuhuong #LoveIsAGift #ILoveYouSoMatcha","17","40","3919","13","1","26","nhạc nền - Bữa nào cà phê nha Ní","Bữa nào cà phê nha Ní","true","2026-01-13T06:26:36.000Z","https://www.tiktok.com/@sbvincomrachgia/video/7594728783551188242"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/061ef33cfce26b3dbd8c91e42ca633ad~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=afea341d&x-expires=1768705200&x-signature=%2B1h5rY0ecmAEvjhRQQyANUZol8U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","happyfoodntravel","Matcha Charm Starbucks #matcha #matchacharm #starbucks #hcmc #foodreview ","80","32","4683","2","12","60","Little Things","Adrián Berenguer","false","2026-01-14T04:07:33.000Z","https://www.tiktok.com/@happyfoodntravel/video/7595064033724714258"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/96b454195afe772c7835b464f8cce95a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f6bb8c49&x-expires=1768705200&x-signature=y3Mg%2BCFdORACV1%2Ftj57aUHvm%2BRA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","starbucks","we really did that. @beastgames","17300","468","3900000","761","1152","28","original sound - Starbucks","Starbucks","true","2026-01-07T19:06:02.000Z","https://www.tiktok.com/@starbucks/video/7592697779093392654"
"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/30060638b19eaa62c0c28bf503a12f5d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=52936e28&x-expires=1768705200&x-signature=APdcuxLeencyr1So7JGznJ2yvek%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","starbucks_es","Esta temporada en Starbucks solo puede saber a... ¡PISTACHO! ​

🤍 Iced/Hot Pistacho Avena Latte ​
❤️ Iced Pistacho Shaken Espresso​
🤎 Pistacho Hot/Iced Chocolate​
💚 Pistacho Frappuccino​​

#Pistacho #Cafe #Chocolate #Frappuccino #Starbucks","6791","1924","6900000","101","1053","10","sonido original","Starbucks España","true","2026-01-08T06:38:05.000Z","https://www.tiktok.com/@starbucks_es/video/7592876251480706326"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/96b454195afe772c7835b464f8cce95a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f6bb8c49&x-expires=1768705200&x-signature=y3Mg%2BCFdORACV1%2Ftj57aUHvm%2BRA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","starbucks","proof that our pistachio lattes and pistachio cream cold brew are back. there’s even a NEW pistachio cortado now.","19700","1106","2500000","562","1074","7","original sound - Starbucks","Starbucks","true","2026-01-06T14:00:21.000Z","https://www.tiktok.com/@starbucks/video/7592247938131184951"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/74c24af5564095e79f459389c9d9bd53~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=c6f3d87a&x-expires=1768705200&x-signature=lP%2FSf360Z%2Bd%2F2sCsf1Wg8lsaN3c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","sinsin_199","Đã đến Starbuck uống matcha latte thì đừng dừng ở vị nguyên bản #Viral #xuhuong #starbucks #fpy ","285","52","10200","19","160","16","漫步香港1999（Cover 布鲁昔）","CHEERS L","false","2026-01-13T10:02:37.000Z","https://www.tiktok.com/@sinsin_199/video/7594784405369916692"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/51b7a97592859cbe71bbc46384313599~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=c025fdba&x-expires=1768705200&x-signature=lV3INTVnh6ozVvR0OOH7lWlxgXw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","saychinhoii","Công thức Vienna Creamy Latte cập bến gòii #starbucks #viennacreamylatte #coffee #saychinhoii #congthucstarbuck ","4331","1301","104600","64","2767","42","春节喜庆元旦过年热闹","苏政","false","2026-01-12T12:27:32.000Z","https://www.tiktok.com/@saychinhoii/video/7594450718879206664"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/96b454195afe772c7835b464f8cce95a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f6bb8c49&x-expires=1768705200&x-signature=y3Mg%2BCFdORACV1%2Ftj57aUHvm%2BRA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","starbucks","our take on day drinking. new Iced Caramel Protein Matcha & Hot Caramel Protein Latte. available sugar-free.","15600","322","2500000","984","1257","7","original sound - Starbucks","Starbucks","true","2026-01-06T14:58:51.000Z","https://www.tiktok.com/@starbucks/video/7592262936559717645"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6f98951723bd45420d967a3d1c11f45f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=acd1f238&x-expires=1768705200&x-signature=w6tN%2BWMgN3fYFKvtdJnAW%2FF2Edc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=sg1","phammy97","Thử công thức Caramel Starbucks mới tại cơ sở Hanoi Centre siu hot ‼️#coffee #hanoi ","1514","322","45200","39","877","67","Trả Cho Anh (Remix)","H2O Remix & Nguyễn Thạc Bảo Ngọc","false","2026-01-07T15:49:17.000Z","https://www.tiktok.com/@phammy97/video/7592647247679016213"
